replicate,scenario,family,family_label,abundance,mean_capacity,population,window_mean_wealth_gini,window_mean_welfare,final_wealth_gini,final_mean_energy
0,uniform_high,uniform,Uniform,high,0.75,4,0.016456763785014525,0.21871940970591658,0.01775496071596394,0.1501131607302971
0,uniform_high,uniform,Uniform,high,0.75,8,0.029015001280026927,0.18816653857181584,0.03204230274063691,0.22142672486579607
0,uniform_high,uniform,Uniform,high,0.75,16,0.04274362943320398,0.05798654597836576,0.04214727898742665,0.06037522256237428
0,uniform_high,uniform,Uniform,high,0.75,32,0.16988121743672185,5.850897859833726e-06,0.16935455184235493,0.0
0,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,4,0.016069871507827894,0.21536739000400068,0.016654020378376044,0.14219499375147196
0,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,8,0.028418218196065652,0.19225440105015018,0.03160868642366266,0.23186682347757193
0,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,16,0.04261582580546341,0.05518878619046,0.04240870982052547,0.058806079858798765
0,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,32,0.16666717585359933,4.657346356937747e-06,0.16632655899190296,0.0
0,patchy_high,patchy,Patchy,high,0.75,4,0.018134798799998405,0.21553253496023714,0.018250668502325595,0.1668700827609278
0,patchy_high,patchy,Patchy,high,0.75,8,0.031122528254626868,0.19456252650448122,0.03405004988695959,0.21836987345930575
0,patchy_high,patchy,Patchy,high,0.75,16,0.04399479472690098,0.060403259251963916,0.043157887924014426,0.059591476224203216
0,patchy_high,patchy,Patchy,high,0.75,32,0.1749740608996622,6.928641520628055e-06,0.17417133309666855,0.0
0,centralized_high,centralized,Centralized,high,0.75,4,0.018281022989474604,0.2006247994841358,0.01666823237605186,0.16114317202331097
0,centralized_high,centralized,Centralized,high,0.75,8,0.029863419218099322,0.19622631686525316,0.03323284435376128,0.25615751661283515
0,centralized_high,centralized,Centralized,high,0.75,16,0.04304470338801274,0.058354609426950234,0.04330669660302067,0.05779663208544664
0,centralized_high,centralized,Centralized,high,0.75,32,0.17318809684876954,3.909314024551104e-06,0.17260780978618806,0.0
0,decentralized_high,decentralized,Decentralized,high,0.75,4,0.020170997469102545,0.21147466570160975,0.01927312033966233,0.14830666987633195
0,decentralized_high,decentralized,Decentralized,high,0.75,8,0.03105301413250413,0.18675063817572252,0.03432837715185699,0.21787427700679096
0,decentralized_high,decentralized,Decentralized,high,0.75,16,0.047430254631011796,0.051765886188940125,0.04695080328294288,0.05719253335324426
0,decentralized_high,decentralized,Decentralized,high,0.75,32,0.1718849023275289,4.433066846024561e-06,0.17133279446036642,0.0
0,fragmented_high,fragmented,Fragmented,high,0.75,4,0.01708549745760484,0.21910620754539806,0.016677965925748106,0.15501500713373334
0,fragmented_high,fragmented,Fragmented,high,0.75,8,0.029001522410671398,0.19533140804994656,0.0318502846869706,0.27121547901475285
0,fragmented_high,fragmented,Fragmented,high,0.75,16,0.04313704926530091,0.059028215136017935,0.04318791776418385,0.06534852620528649
0,fragmented_high,fragmented,Fragmented,high,0.75,32,0.17469507547663987,3.443615782891225e-06,0.17417524438545606,0.0
0,uniform_low,uniform,Uniform,low,0.35,4,0.022549382415674148,0.040555484854641215,0.023938064900000722,0.08414175564640071
0,uniform_low,uniform,Uniform,low,0.35,8,0.03547453712548478,0.027162042866636968,0.034508429189885836,0.05237556550700154
0,uniform_low,uniform,Uniform,low,0.35,16,0.05166280520511355,0.006303311520447777,0.048441805696082696,0.007315027100054287
0,uniform_low,uniform,Uniform,low,0.35,32,0.18272845424289447,0.0,0.1817179869671972,0.0
0,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,4,0.024491806239630258,0.04046612402070797,0.025246235800841177,0.08605136045656535
0,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,8,0.031534971317730094,0.02728747092462219,0.031731578589907716,0.05072342508291334
0,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,16,0.05020445451051722,0.0060816502608238635,0.047820995054675075,0.006207809346858652
0,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,32,0.1788123381169625,0.0,0.17803665743262664,0.0
0,patchy_low,patchy,Patchy,low,0.35,4,0.02694764723003879,0.04302736707498853,0.026841601137221227,0.08637522832985184
0,patchy_low,patchy,Patchy,low,0.35,8,0.040920072729389564,0.02861656067974867,0.03983337253671304,0.05400950785033044
0,patchy_low,patchy,Patchy,low,0.35,16,0.05361070151515291,0.006561927904018189,0.049912558086068204,0.008219946947466328
0,patchy_low,patchy,Patchy,low,0.35,32,0.18746730366117575,0.0,0.18636193939781398,0.0
0,centralized_low,centralized,Centralized,low,0.35,4,0.03157955796086367,0.0460503624044029,0.02979239634683828,0.08785323149620816
0,centralized_low,centralized,Centralized,low,0.35,8,0.03591433174176003,0.031842906765158954,0.035578199259270527,0.05256147574924426
0,centralized_low,centralized,Centralized,low,0.35,16,0.04945444917484805,0.006189705191857659,0.047362906897359336,0.007169531464320197
0,centralized_low,centralized,Centralized,low,0.35,32,0.18397298656405958,0.0,0.1829557019821404,0.0
0,decentralized_low,decentralized,Decentralized,low,0.35,4,0.030232622914221685,0.04059383138206229,0.0298555554057911,0.09145412877979066
0,decentralized_low,decentralized,Decentralized,low,0.35,8,0.036267004471897575,0.027615883579066514,0.036951475751926255,0.05819465774290815
0,decentralized_low,decentralized,Decentralized,low,0.35,16,0.053899056817611604,0.006067862448032651,0.05150042354040951,0.008700889480068925
0,decentralized_low,decentralized,Decentralized,low,0.35,32,0.1818674680827357,0.0,0.18092586594590765,0.0
0,fragmented_low,fragmented,Fragmented,low,0.35,4,0.02231844804371449,0.04153283890063262,0.02186137265582966,0.08414642132726563
0,fragmented_low,fragmented,Fragmented,low,0.35,8,0.03489582145333287,0.029478607963271175,0.0328489983715039,0.05777741495258962
0,fragmented_low,fragmented,Fragmented,low,0.35,16,0.04960005548818293,0.006493938995995537,0.0475421532573117,0.007846546035906078
0,fragmented_low,fragmented,Fragmented,low,0.35,32,0.18364043142263642,0.0,0.1825221274786839,0.0
1,uniform_high,uniform,Uniform,high,0.75,4,0.022190797019234623,0.20875375273569305,0.02048443443742909,0.19894684965705295
1,uniform_high,uniform,Uniform,high,0.75,8,0.03109568120915383,0.18304775616128563,0.034341316749642026,0.20871791232676207
1,uniform_high,uniform,Uniform,high,0.75,16,0.046012741071341165,0.057883603875251426,0.04461820455548704,0.05829787190014444
1,uniform_high,uniform,Uniform,high,0.75,32,0.1539933384359675,8.832867425970529e-07,0.15270933475324466,0.0
1,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,4,0.023718776971935668,0.20600553447846068,0.022395467572307926,0.19916380127402383
1,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,8,0.03085777217394243,0.18236811409043438,0.03327877830713155,0.21479783112667833
1,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,16,0.04703907035192362,0.060155864182133686,0.04530804693729795,0.06052045306417214
1,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,32,0.15582562685403867,1.4938014260348053e-06,0.15456344844091774,0.0
1,patchy_high,patchy,Patchy,high,0.75,4,0.02086075089181239,0.19356992144974336,0.020012457818511464,0.18895820547406644
1,patchy_high,patchy,Patchy,high,0.75,8,0.030350157427343042,0.17193737152137725,0.03359547236946159,0.19503687518355728
1,patchy_high,patchy,Patchy,high,0.75,16,0.04643152909944243,0.05776048273552421,0.04504492632565493,0.058809453811458606
1,patchy_high,patchy,Patchy,high,0.75,32,0.15870304025240878,1.1198659866248451e-06,0.1573056387750953,0.0
1,centralized_high,centralized,Centralized,high,0.75,4,0.0211747992856995,0.18618829887927396,0.018177118250769286,0.18906952555247958
1,centralized_high,centralized,Centralized,high,0.75,8,0.03195983566988295,0.18899700080033227,0.035592216376891805,0.2461900675994355
1,centralized_high,centralized,Centralized,high,0.75,16,0.04645075140278508,0.05784258737456667,0.045646791644115,0.05636497795046302
1,centralized_high,centralized,Centralized,high,0.75,32,0.14544955086702227,0.0,0.14448177062130618,0.0
1,decentralized_high,decentralized,Decentralized,high,0.75,4,0.021687452499375696,0.20721467529438783,0.020172553935647652,0.19361406476142318
1,decentralized_high,decentralized,Decentralized,high,0.75,8,0.033828125817501185,0.18314862896515563,0.037740743857832104,0.20593614102109653
1,decentralized_high,decentralized,Decentralized,high,0.75,16,0.04724044428844114,0.05187139806703473,0.046818507046091584,0.054234824851389404
