scenario,family,family_label,abundance,mean_capacity,time,capacity_gini,capacity_morans_i,mean_resource,resource_fraction,resource_gini,resource_morans_i,resource_cv,scarcity_fraction
uniform_high,uniform,Uniform,high,0.75,5000,0.0,nan,0.5249999999999989,0.6999999999999987,0.0,nan,2.1147105230955406e-16,0.0
weak_patchy_high,weak_patchy,Weak patchy,high,0.7500000000000001,5000,0.02903620636490234,0.9084754338054291,0.5249433391413652,0.7002171765889535,0.024671438085823727,0.9268041381583526,0.04329223412013004,0.0
patchy_high,patchy,Patchy,high,0.75,5000,0.04295089870811819,0.7221815255014925,0.5246734142130156,0.7007808760155535,0.03252727871282324,0.7893711014562095,0.060565783139249194,0.0
centralized_high,centralized,Centralized,high,0.7499800000000002,5000,0.08158051029637892,0.8895274914017102,0.5244012385664599,0.7024740113245127,0.06327357467517669,0.8874919048795449,0.11363000452112278,0.0
decentralized_high,decentralized,Decentralized,high,0.75,5000,0.0944800793589664,0.6449128911338906,0.5222528185122505,0.7043574136364051,0.05734506978396814,0.6916522533240538,0.10194965837932374,0.0
fragmented_high,fragmented,Fragmented,high,0.7499983465994692,5000,0.08885490588325995,0.5541060762824817,0.5221076076398002,0.7041638496154989,0.05686716417422888,0.7167915837878865,0.10248236071494246,0.0
uniform_low,uniform,Uniform,low,0.3500000000000001,5000,0.0,nan,0.24499999999999986,0.6999999999999996,0.0,nan,1.1328806373726095e-16,0.0
weak_patchy_low,weak_patchy,Weak patchy,low,0.3500000000000001,5000,0.02903620636490234,0.9084754338054296,0.24497355826597045,0.7002171765889539,0.024671438085823505,0.9268041381583512,0.04329223412013003,0.0
patchy_low,patchy,Patchy,low,0.3500000000000001,5000,0.04295089870811819,0.7221815255014926,0.2448475932994074,0.7007808760155538,0.03252727871282346,0.7893711014562099,0.06056578313924915,0.0
centralized_low,centralized,Centralized,low,0.3499999999999999,5000,0.08224393481610504,0.8907184623082363,0.2447221651720023,0.7025172699966389,0.06380554978943098,0.8883767895904785,0.11478056109250807,0.0
decentralized_low,decentralized,Decentralized,low,0.35,5000,0.09448007935896663,0.644912891133892,0.2437179819723837,0.7043574136364056,0.05734506978396858,0.6916522533240509,0.1019496583793234,0.0
fragmented_low,fragmented,Fragmented,low,0.35,5000,0.08907514135836703,0.5536470502800541,0.24364084196158622,0.7041790566568793,0.05697583484250912,0.7169523361518909,0.10265785946575488,0.0
