scenario,family,family_label,abundance,mean_capacity,population,replicates,wealth_gini_mean,wealth_gini_sd,welfare_mean,welfare_sd
centralized_high,centralized,Centralized,high,0.75,4,5,0.019867187266773494,0.004721536416226734,0.2012185075567222,0.02892205647937732
centralized_high,centralized,Centralized,high,0.75,8,5,0.03397175833249949,0.004851349339694094,0.1867128412972758,0.007818740045673346
centralized_high,centralized,Centralized,high,0.75,16,5,0.04898761003428471,0.0047283287631796015,0.05381651295464983,0.004217361717792333
centralized_high,centralized,Centralized,high,0.75,32,5,0.1506983946094944,0.0186996031556616,7.818628049102208e-07,1.74829838085791e-06
decentralized_high,decentralized,Decentralized,high,0.75,4,5,0.020574739497944,0.003632937357449388,0.22062912807241813,0.02753456741713714
decentralized_high,decentralized,Decentralized,high,0.75,8,5,0.03422887448278241,0.005684297612376637,0.17714194367833844,0.00778338883311131
decentralized_high,decentralized,Decentralized,high,0.75,16,5,0.050481334375104436,0.004201838006026079,0.048612030718530895,0.0030336952261880894
decentralized_high,decentralized,Decentralized,high,0.75,32,5,0.14923959186472244,0.01848717680785488,8.866133692049121e-07,1.982527763302302e-06
fragmented_high,fragmented,Fragmented,high,0.75,4,5,0.020932542638079955,0.0048611085761264446,0.22212090181737812,0.025937718593051724
fragmented_high,fragmented,Fragmented,high,0.75,8,5,0.031398036799289195,0.002715821345403945,0.17494916997376914,0.016747273591515992
fragmented_high,fragmented,Fragmented,high,0.75,16,5,0.04769118095365675,0.0029557313459832963,0.05245791443112694,0.005895966355682173
fragmented_high,fragmented,Fragmented,high,0.75,32,5,0.15168172796902052,0.01639973341166881,8.498153401841806e-07,1.4740735805279521e-06
patchy_high,patchy,Patchy,high,0.75,4,5,0.02153339536272125,0.00526596271588816,0.22104717840747995,0.04668911589305076
patchy_high,patchy,Patchy,high,0.75,8,5,0.032178965117705606,0.002740615813717834,0.1740188682210123,0.01526615040508924
patchy_high,patchy,Patchy,high,0.75,16,5,0.04721874710763972,0.0026872603031252934,0.05371867497743339,0.00547344964122496
patchy_high,patchy,Patchy,high,0.75,32,5,0.15600450497133847,0.016574412539881102,1.8041493309363642e-06,2.912500990024422e-06
uniform_high,uniform,Uniform,high,0.75,4,5,0.02002097618530305,0.004107179492723764,0.22111111047609952,0.023503699187277904
uniform_high,uniform,Uniform,high,0.75,8,5,0.031231181484136988,0.004740340630093606,0.1770236419543563,0.009663355950783957
uniform_high,uniform,Uniform,high,0.75,16,5,0.0468603947771993,0.0026514194161103024,0.05358819758690281,0.0039928719499577195
uniform_high,uniform,Uniform,high,0.75,32,5,0.15249187711456286,0.01645628776687671,1.4178084605743768e-06,2.504407168824366e-06
weak_patchy_high,weak_patchy,Weak patchy,high,0.75,4,5,0.020763681511032115,0.004089127053486211,0.21647595330768135,0.026740101316593
weak_patchy_high,weak_patchy,Weak patchy,high,0.75,8,5,0.032226708016096894,0.006659930579873203,0.17830861455483976,0.009141669178178272
weak_patchy_high,weak_patchy,Weak patchy,high,0.75,16,5,0.04747329638249114,0.0033220502904383964,0.053516324389768756,0.004798860561479707
weak_patchy_high,weak_patchy,Weak patchy,high,0.75,32,5,0.15223127434012068,0.018106851254527854,1.2302295565945106e-06,2.0220654032023355e-06
centralized_low,centralized,Centralized,low,0.35,4,5,0.025584359148717834,0.004895329313797577,0.04687690674952429,0.0064992170254767525
centralized_low,centralized,Centralized,low,0.35,8,5,0.04209312557828517,0.007395216836270407,0.02926381439682476,0.002051354171458146
centralized_low,centralized,Centralized,low,0.35,16,5,0.053980517307441744,0.006826167427785963,0.00606791857102576,0.00024201845142476206
centralized_low,centralized,Centralized,low,0.35,32,5,0.15333303273251264,0.024466799603862045,0.0,0.0
decentralized_low,decentralized,Decentralized,low,0.35,4,5,0.02407565369790885,0.005710159984032598,0.04211778053136246,0.0043311700403757345
decentralized_low,decentralized,Decentralized,low,0.35,8,5,0.0432477823745212,0.008545042567538696,0.025836787751256956,0.0013332032128254693
decentralized_low,decentralized,Decentralized,low,0.35,16,5,0.056492328178554985,0.005913115442309717,0.0058884766978222385,0.0002525985027580804
decentralized_low,decentralized,Decentralized,low,0.35,32,5,0.15403339719058748,0.021149052290883104,0.0,0.0
fragmented_low,fragmented,Fragmented,low,0.35,4,5,0.02139341460609271,0.005619207921793456,0.04153091498971162,0.004655211473405291
fragmented_low,fragmented,Fragmented,low,0.35,8,5,0.039084703474235184,0.00508172454807961,0.02500457987040814,0.0031893411998787785
fragmented_low,fragmented,Fragmented,low,0.35,16,5,0.05482694681534274,0.0033628834725210914,0.005962575300259899,0.000498010935546602
fragmented_low,fragmented,Fragmented,low,0.35,32,5,0.15732250472568943,0.02061527168389957,0.0,0.0
patchy_low,patchy,Patchy,low,0.35,4,5,0.02447728726659649,0.0025049706003671284,0.040158628440897126,0.0033629606863758345
patchy_low,patchy,Patchy,low,0.35,8,5,0.04099147683280819,0.004903259548663156,0.025066770573794944,0.002159172801839379
patchy_low,patchy,Patchy,low,0.35,16,5,0.055720715055448955,0.0034538306694065907,0.006234021243608117,0.0004402505629515504
patchy_low,patchy,Patchy,low,0.35,32,5,0.1606780462935326,0.021322925282252138,0.0,0.0
uniform_low,uniform,Uniform,low,0.35,4,5,0.02173397662900597,0.002488365664426867,0.04059584675143242,0.0038120898365245574
uniform_low,uniform,Uniform,low,0.35,8,5,0.03869340377616735,0.0077599942804556935,0.025008286403941104,0.0015982862567406036
uniform_low,uniform,Uniform,low,0.35,16,5,0.05498210295446515,0.003589824538297874,0.006243288651484801,0.00017653292325474807
uniform_low,uniform,Uniform,low,0.35,32,5,0.1575657491715059,0.020799736989806666,0.0,0.0
weak_patchy_low,weak_patchy,Weak patchy,low,0.35,4,5,0.025689110719037556,0.005685152878603722,0.040185237145988484,0.0032481161159522544
weak_patchy_low,weak_patchy,Weak patchy,low,0.35,8,5,0.039647439522873515,0.010609227883285116,0.025237237441601466,0.0015779902712568026
weak_patchy_low,weak_patchy,Weak patchy,low,0.35,16,5,0.05521029430905665,0.004233938949637527,0.006262763273643791,0.0004124529981652533
weak_patchy_low,weak_patchy,Weak patchy,low,0.35,32,5,0.1572561095191249,0.021261384312172043,0.0,0.0
