scenario,family,abundance,population,replicate,agent,x,y
uniform_high,uniform,high,4,0,agent_0,9,3
uniform_high,uniform,high,4,0,agent_1,8,3
uniform_high,uniform,high,4,0,agent_2,1,9
uniform_high,uniform,high,4,0,agent_3,4,3
uniform_high,uniform,high,8,0,agent_0,9,3
uniform_high,uniform,high,8,0,agent_1,8,3
uniform_high,uniform,high,8,0,agent_2,1,9
uniform_high,uniform,high,8,0,agent_3,4,3
uniform_high,uniform,high,8,0,agent_4,2,1
uniform_high,uniform,high,8,0,agent_5,0,9
uniform_high,uniform,high,8,0,agent_6,9,4
uniform_high,uniform,high,8,0,agent_7,2,1
uniform_high,uniform,high,16,0,agent_0,9,3
uniform_high,uniform,high,16,0,agent_1,8,3
uniform_high,uniform,high,16,0,agent_2,1,9
uniform_high,uniform,high,16,0,agent_3,4,3
uniform_high,uniform,high,16,0,agent_4,2,1
uniform_high,uniform,high,16,0,agent_5,0,9
uniform_high,uniform,high,16,0,agent_6,9,4
uniform_high,uniform,high,16,0,agent_7,2,1
uniform_high,uniform,high,16,0,agent_8,2,0
uniform_high,uniform,high,16,0,agent_9,6,3
uniform_high,uniform,high,16,0,agent_10,3,4
uniform_high,uniform,high,16,0,agent_11,4,1
uniform_high,uniform,high,16,0,agent_12,2,0
uniform_high,uniform,high,16,0,agent_13,0,5
uniform_high,uniform,high,16,0,agent_14,8,9
uniform_high,uniform,high,16,0,agent_15,9,8
uniform_high,uniform,high,32,0,agent_0,9,3
uniform_high,uniform,high,32,0,agent_1,8,3
uniform_high,uniform,high,32,0,agent_2,1,9
uniform_high,uniform,high,32,0,agent_3,4,3
uniform_high,uniform,high,32,0,agent_4,2,1
uniform_high,uniform,high,32,0,agent_5,0,9
uniform_high,uniform,high,32,0,agent_6,9,4
uniform_high,uniform,high,32,0,agent_7,2,1
uniform_high,uniform,high,32,0,agent_8,2,0
uniform_high,uniform,high,32,0,agent_9,6,3
uniform_high,uniform,high,32,0,agent_10,3,4
uniform_high,uniform,high,32,0,agent_11,4,1
uniform_high,uniform,high,32,0,agent_12,2,0
uniform_high,uniform,high,32,0,agent_13,0,5
