scenario,population,replicate,social_mode,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction
uniform_high,8,0,none,q_learning,continuation,1,0.125,0.75,0.5435644431995964,0.6136991825758851,46.02743869319137,0.998,1.0,0.0,0.0,0.998,0.1050890816950869,4.710434506462865,nan
uniform_high,8,0,none,q_learning,continuation,20,0.125,0.75,0.5435644431995964,0.6130530753461213,45.97898065095909,0.998,1.0,0.0,0.0,0.998,0.10680461941956554,5.0149965242952,nan
uniform_high,8,0,none,q_learning,continuation,40,0.125,0.75,0.5435644431995964,0.612659617702373,45.949471327677976,0.998,1.0,0.0,0.0,0.998,0.10832382981721134,5.334746695430214,nan
uniform_high,8,0,none,q_learning,continuation,60,0.125,0.75,0.5435644431995964,0.6124349705613519,45.93262279210139,0.998,1.0,0.0,0.0,0.998,0.10968914227893722,5.654183672630987,nan
uniform_high,8,0,none,q_learning,continuation,80,0.125,0.75,0.5435644431995964,0.61231192603698,45.923394452773515,0.998,1.0,0.0,0.0,0.998,0.11091756130543162,5.97345456220031,nan
uniform_high,8,0,none,q_learning,continuation,100,0.125,0.75,0.5435644431995964,0.6122505280023571,45.91878960017678,0.998,1.0,0.0,0.0,0.998,0.11202617351492661,6.292634737586736,nan
uniform_high,8,0,none,q_learning,fresh_reset,1,0.0,1.0,0.0,0.5028951111111112,37.71713333333333,0.998,1.0,0.0,0.0,0.998,0.0,0.02,nan
uniform_high,8,0,none,q_learning,fresh_reset,20,0.25,0.5,0.8112781244591328,0.5488327442282308,41.16245581711731,0.998,1.0,0.0,0.0,0.998,0.051715522984676854,0.3752500000000001,nan
uniform_high,8,0,none,q_learning,fresh_reset,40,0.125,0.75,0.5435644431995964,0.5773803586092536,43.30352689569401,0.998,1.0,0.0,0.0,0.998,0.07645794593532207,0.7254954365452133,nan
uniform_high,8,0,none,q_learning,fresh_reset,60,0.25,0.5,0.8112781244591328,0.5934550461661104,44.50912846245829,0.998,1.0,0.0,0.0,0.998,0.0910805033876021,1.0508669546034235,nan
uniform_high,8,0,none,q_learning,fresh_reset,80,0.125,0.75,0.5435644431995964,0.6021980925195848,45.16485693896887,0.998,1.0,0.0,0.0,0.998,0.09685900486693644,1.3694969608775756,nan
uniform_high,8,0,none,q_learning,fresh_reset,100,0.25,0.5,0.8112781244591328,0.6070456888910821,45.528426666831166,0.998,1.0,0.0,0.0,0.998,0.10274760157882978,1.685368904691444,nan
uniform_high,8,0,none,always_low,fresh_reset,1,1.0,1.0,0.0,0.5047898311111112,37.859237333333326,0.998,1.0,0.0,0.0,0.998,0.0,0.002,nan
uniform_high,8,0,none,always_low,fresh_reset,20,1.0,1.0,0.0,0.5811794848748978,43.58846136561735,0.998,1.0,0.0,0.0,0.998,0.0,0.04000000000000002,nan
uniform_high,8,0,none,always_low,fresh_reset,40,1.0,1.0,0.0,0.632698085222552,47.45235639169141,0.998,1.0,0.0,0.0,0.998,0.0,0.08000000000000006,nan
uniform_high,8,0,none,always_low,fresh_reset,60,1.0,1.0,0.0,0.6620090582985608,49.650679372392055,0.998,1.0,0.0,0.0,0.998,0.0,0.12000000000000009,nan
uniform_high,8,0,none,always_low,fresh_reset,80,1.0,1.0,0.0,0.6776545415309717,50.82409061482287,0.998,1.0,0.0,0.0,0.998,0.0,0.16000000000000011,nan
uniform_high,8,0,none,always_low,fresh_reset,100,1.0,1.0,0.0,0.6857218687661859,51.42914015746394,0.998,1.0,0.0,0.0,0.998,0.0,0.20000000000000015,nan
uniform_high,8,0,none,always_high,fresh_reset,1,0.0,1.0,0.0,0.5028951111111112,37.71713333333333,0.998,1.0,0.0,0.0,0.998,0.0,0.02,nan
uniform_high,8,0,none,always_high,fresh_reset,20,0.0,1.0,0.0,0.5461200991142932,40.95900743357199,0.998,1.0,0.0,0.0,0.998,0.0,0.4000000000000001,nan
uniform_high,8,0,none,always_high,fresh_reset,40,0.0,1.0,0.0,0.5696748368055369,42.72561276041527,0.998,1.0,0.0,0.0,0.998,0.009004271081980875,0.7898344628870008,nan
uniform_high,8,0,none,always_high,fresh_reset,60,0.0,1.0,0.0,0.5829186660256668,43.718899951925,0.998,1.0,0.0,0.0,0.998,0.03737588259112967,1.1338586932972938,nan
uniform_high,8,0,none,always_high,fresh_reset,80,0.0,1.0,0.0,0.5904932412297114,44.28699309222836,0.998,1.0,0.0,0.0,0.998,0.05586830644318197,1.45977584872819,nan
uniform_high,8,0,none,always_high,fresh_reset,100,0.0,1.0,0.0,0.5945955099834472,44.59466324875853,0.998,1.0,0.0,0.0,0.998,0.06879543660428533,1.7833981985685803,nan
uniform_high,8,0,none,random_50,fresh_reset,1,0.625,0.25,0.954434002924965,0.5040795751111112,37.80596813333332,0.998,1.0,0.0,0.0,0.998,0.4821428571428572,0.008749999999999999,nan
uniform_high,8,0,none,random_50,fresh_reset,20,0.75,0.5,0.8112781244591328,0.5641601252181876,42.31200939136407,0.998,1.0,0.0,0.0,0.998,0.16787305122494423,0.22450000000000003,nan
uniform_high,8,0,none,random_50,fresh_reset,40,0.5,0.0,1.0,0.6024064856588504,45.180486424413765,0.998,1.0,0.0,0.0,0.998,0.08672376873661691,0.46700000000000014,nan
uniform_high,8,0,none,random_50,fresh_reset,60,0.375,0.25,0.954434002924965,0.6258599224126611,46.93949418094959,0.998,1.0,0.0,0.0,0.998,0.04447769314472261,0.6892500000000004,nan
uniform_high,8,0,none,random_50,fresh_reset,80,0.625,0.25,0.954434002924965,0.6396045561013178,47.97034170759884,0.998,1.0,0.0,0.0,0.998,0.04899393605292213,0.9070000000000005,nan
uniform_high,8,0,none,random_50,fresh_reset,100,0.375,0.25,0.954434002924965,0.647947240668608,48.596043050145596,0.998,1.0,0.0,0.0,0.998,0.04041311180960938,1.1135000000000006,nan
patchy_high,8,0,none,q_learning,continuation,1,0.25,0.5,0.8112781244591328,0.6260580346575594,46.9426773402639,0.998,1.0,0.0,0.0,0.998,0.133414227468323,4.290492695234059,nan
patchy_high,8,0,none,q_learning,continuation,20,0.125,0.75,0.5435644431995964,0.6255165822822933,46.90279647897495,0.998,1.0,0.0,0.0,0.998,0.13534632840578653,4.567067182857699,nan
patchy_high,8,0,none,q_learning,continuation,40,0.125,0.75,0.5435644431995964,0.6252387768665794,46.88328629674106,0.998,1.0,0.0,0.0,0.998,0.13745382988586186,4.856595943659684,nan
patchy_high,8,0,none,q_learning,continuation,60,0.0,1.0,0.0,0.6248205747044541,46.8543401359457,0.998,1.0,0.0,0.0,0.998,0.13890401198151037,5.148146506599341,nan
patchy_high,8,0,none,q_learning,continuation,80,0.125,0.75,0.5435644431995964,0.6249861632793077,46.86695662505144,0.998,1.0,0.0,0.0,0.998,0.14074072096211587,5.435071680726058,nan
patchy_high,8,0,none,q_learning,continuation,100,0.125,0.75,0.5435644431995964,0.6249545945135716,46.864779314641524,0.998,1.0,0.0,0.0,0.998,0.14229448473962925,5.724176419775867,nan
patchy_high,8,0,none,q_learning,fresh_reset,1,0.0,1.0,0.0,0.5029929434468479,37.71714316745042,0.998,1.0,0.0,0.0,0.998,0.0,0.02,nan
patchy_high,8,0,none,q_learning,fresh_reset,20,0.375,0.25,0.954434002924965,0.5523279943799507,41.37178873314054,0.998,1.0,0.0,0.0,0.998,0.10256640344580048,0.34825000000000006,nan
patchy_high,8,0,none,q_learning,fresh_reset,40,0.25,0.5,0.8112781244591328,0.5843190589597304,43.79788377538762,0.998,1.0,0.0,0.0,0.998,0.13836138190886382,0.653528986584915,nan
patchy_high,8,0,none,q_learning,fresh_reset,60,0.25,0.5,0.8112781244591328,0.6035321592923084,45.245829514640924,0.998,1.0,0.0,0.0,0.998,0.15199611682023106,0.9353991835968023,nan
patchy_high,8,0,none,q_learning,fresh_reset,80,0.375,0.25,0.954434002924965,0.6139533454329453,46.03629852925943,0.998,1.0,0.0,0.0,0.998,0.15819647837741124,1.2176291052652437,nan
