scenario,scenario_label,scenario_group,population,replicate,social_mode,rewiring,strategy,evaluation_mode,steps_evaluated,eval_mean_low_extraction_rate,final_low_extraction_rate,eval_mean_collective_order,final_collective_order,eval_mean_action_entropy,final_action_entropy,eval_mean_mean_resource_fraction,final_mean_resource_fraction,eval_mean_total_resource,final_total_resource,eval_mean_mean_reserve_welfare,final_mean_reserve_welfare,eval_mean_mean_need_satisfaction,final_mean_need_satisfaction,eval_mean_deprivation_rate,final_deprivation_rate,eval_mean_mean_metabolic_shortfall,final_mean_metabolic_shortfall,eval_mean_mean_energy,final_mean_energy,eval_mean_wealth_gini,final_wealth_gini,eval_mean_mean_wealth,final_mean_wealth,eval_mean_mean_social_low_fraction,final_mean_social_low_fraction,eval_mean_visibility_gini,final_visibility_gini,eval_mean_max_visibility_share,final_max_visibility_share,eval_mean_zero_visibility_fraction,final_zero_visibility_fraction,eval_mean_social_perception_error,final_social_perception_error,eval_mean_signed_perception_bias,final_signed_perception_bias,eval_mean_majority_mismatch_rate,final_majority_mismatch_rate,eval_mean_degree_action_correlation,final_degree_action_correlation,state_occupancy_scarce,low_given_scarce,state_occupancy_moderate,low_given_moderate,state_occupancy_abundant,low_given_abundant,social_occupancy_mostly_high,social_occupancy_mixed,social_occupancy_mostly_low,joint_occupancy_scarce_mostly_high,low_given_scarce_mostly_high,joint_occupancy_scarce_mixed,low_given_scarce_mixed,joint_occupancy_scarce_mostly_low,low_given_scarce_mostly_low,joint_occupancy_moderate_mostly_high,low_given_moderate_mostly_high,joint_occupancy_moderate_mixed,low_given_moderate_mixed,joint_occupancy_moderate_mostly_low,low_given_moderate_mostly_low,joint_occupancy_abundant_mostly_high,low_given_abundant_mostly_high,joint_occupancy_abundant_mixed,low_given_abundant_mixed,joint_occupancy_abundant_mostly_low,low_given_abundant_mostly_low
uniform_high,Uniform high,single,8,0,fixed,random,q_learning,continuation,100,0.00125,0.0,0.9975,1.0,0.005435644431995964,0.0,0.6009235288782907,0.5995907301012957,45.0692646658718,44.96930475759718,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.09886324302657529,0.10139037958959451,8.791988200653929,9.599482407232546,0.0015625,0.0,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.0010267857142857142,0.0,0.00031250000000000006,0.0,0.0,0.0,-0.20203050891044214,nan,0.875,0.0014285714285714286,0.125,0.0,0.0,nan,0.99375,0.00625,0.0,0.86875,0.0,0.00625,0.2,0.0,nan,0.125,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
uniform_high,Uniform high,single,8,0,fixed,random,q_learning,fresh_reset,100,0.125,0.125,0.75,0.75,0.5435644431995964,0.5435644431995964,0.5774247591877247,0.6074945745097236,43.30685693907938,45.56209308822927,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.13335288211116386,0.17385313203683483,0.8441885694911748,1.5926780816034478,0.1553125,0.15625,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.10281249999999996,0.10267857142857142,0.030312500000000006,0.03125000000000001,0.0,0.0,-0.19596959364312888,-0.20203050891044214,0.54875,0.0,0.45125,0.2770083102493075,0.0,nan,0.99,0.01,0.0,0.54875,0.0,0.0,nan,0.0,nan,0.44125,0.2804532577903683,0.01,0.125,0.0,nan,0.0,nan,0.0,nan,0.0,nan
uniform_high,Uniform high,single,8,0,fixed,random,always_low,fresh_reset,100,1.0,1.0,1.0,1.0,0.0,0.0,0.6317235133269229,0.6857218687661859,47.37926349951921,51.42914015746394,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.0,0.0,0.10100000000000006,0.20000000000000015,1.0,1.0,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.99125,1.0,0.00875,1.0,0.0,0.01,0.99,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.01,1.0,0.98125,1.0,0.0,nan,0.0,nan,0.00875,1.0
uniform_high,Uniform high,single,8,0,fixed,random,always_high,fresh_reset,100,0.0,0.0,1.0,1.0,0.0,0.0,0.5687108537193903,0.5945955099834472,42.65331402895427,44.59466324875853,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.027385064020076535,0.06879543660428533,0.945175398619721,1.7833981985685803,0.0,0.0,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.78875,0.0,0.21125,0.0,0.0,nan,0.99,0.01,0.0,0.78875,0.0,0.0,nan,0.0,nan,0.20125,0.0,0.01,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan
uniform_high,Uniform high,single,8,0,fixed,random,random_50,fresh_reset,100,0.4925,0.375,0.305,0.25,0.8857162894296774,0.954434002924965,0.6033836992816223,0.647947240668608,45.25377744612166,48.596043050145596,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.09693517205209953,0.04041311180960938,0.5722850000000003,1.1135000000000006,0.484375,0.21875,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.1324107142857143,0.1919642857142857,-0.008124999999999986,-0.15625,0.13002380952380954,0.0,0.03825413001521557,0.6900655593423541,0.1675,0.5074626865671642,0.8325,0.4894894894894895,0.0,nan,0.3275,0.37875,0.29375,0.0625,0.64,0.06,0.3958333333333333,0.045,0.4722222222222222,0.265,0.5235849056603774,0.31875,0.5058823529411764,0.24875,0.4321608040201005,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,random,q_learning,continuation,100,0.18625,0.25,0.6275,0.5,0.6747441470167692,0.8112781244591328,0.6212471079234009,0.620913403981444,46.5357311265191,46.515219667763226,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.13447689043621264,0.137759860385388,7.769958002511658,8.472708643624589,0.156875,0.21875,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.13035714285714284,0.16517857142857142,-0.02937499999999999,-0.031249999999999986,0.0,0.0,0.17081781479647545,0.1543033499620919,0.70625,0.26371681415929205,0.29375,0.0,0.0,nan,0.89125,0.10875,0.0,0.60875,0.22587268993839835,0.0975,0.5,0.0,nan,0.2825,0.0,0.01125,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,random,q_learning,fresh_reset,100,0.17625,0.125,0.6475,0.75,0.6300134135328644,0.5435644431995964,0.5815299951535071,0.6139131353357022,43.558347830779205,46.00453494242504,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.11807649894094478,0.14962562106541544,0.8089056593183398,1.5263688352878815,0.1565625,0.15625,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.11138392857142856,0.10267857142857142,-0.01968749999999999,0.03125000000000001,0.0,0.0,0.11672313117704623,-0.20203050891044214,0.67125,0.25884543761638734,0.32875,0.0076045627376425855,0.0,nan,0.9,0.1,0.0,0.59875,0.23382045929018788,0.0725,0.46551724137931033,0.0,nan,0.30125,0.0,0.0275,0.09090909090909091,0.0,nan,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,random,always_low,fresh_reset,100,1.0,1.0,1.0,1.0,0.0,0.0,0.6332451467707646,0.687312609330129,47.34143040487044,51.36067587625041,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.0,0.0,0.10100000000000006,0.20000000000000015,1.0,1.0,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.97,1.0,0.03,1.0,0.0,0.01,0.99,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.01,1.0,0.96,1.0,0.0,nan,0.0,nan,0.03,1.0
patchy_high,Patchy high,single,8,0,fixed,random,always_high,fresh_reset,100,0.0,0.0,1.0,1.0,0.0,0.0,0.5710907513397416,0.5988405426843582,42.74727094323106,44.81641943863292,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.040853444059782314,0.09416904455855413,0.9256717163912178,1.7424279788879384,0.0,0.0,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.79625,0.0,0.20375,0.0,0.0,nan,0.99,0.01,0.0,0.79625,0.0,0.0,nan,0.0,nan,0.19375,0.0,0.01,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,random,random_50,fresh_reset,100,0.4925,0.375,0.305,0.25,0.8857162894296774,0.954434002924965,0.6042076922862162,0.6482628323549195,45.19314114572639,48.47560762910608,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.09693517205209953,0.04041311180960938,0.5722850000000003,1.1135000000000006,0.484375,0.21875,0.2578125,0.2578125,0.21875,0.21875,0.0,0.0,0.1324107142857143,0.1919642857142857,-0.008124999999999986,-0.15625,0.13002380952380954,0.0,0.03825413001521557,0.6900655593423541,0.1875,0.54,0.8125,0.4815384615384615,0.0,nan,0.3275,0.37875,0.29375,0.07,0.6785714285714286,0.06375,0.45098039215686275,0.05375,0.46511627906976744,0.2575,0.5097087378640777,0.315,0.49603174603174605,0.24,0.4322916666666667,0.0,nan,0.0,nan,0.0,nan
