scenario,scenario_label,scenario_group,population,replicate,social_mode,strategy,evaluation_mode,steps_evaluated,eval_mean_low_extraction_rate,final_low_extraction_rate,eval_mean_collective_order,final_collective_order,eval_mean_action_entropy,final_action_entropy,eval_mean_mean_resource_fraction,final_mean_resource_fraction,eval_mean_total_resource,final_total_resource,eval_mean_mean_reserve_welfare,final_mean_reserve_welfare,eval_mean_mean_need_satisfaction,final_mean_need_satisfaction,eval_mean_deprivation_rate,final_deprivation_rate,eval_mean_mean_metabolic_shortfall,final_mean_metabolic_shortfall,eval_mean_mean_energy,final_mean_energy,eval_mean_wealth_gini,final_wealth_gini,eval_mean_mean_wealth,final_mean_wealth,eval_mean_mean_social_low_fraction,final_mean_social_low_fraction,state_occupancy_scarce,low_given_scarce,state_occupancy_moderate,low_given_moderate,state_occupancy_abundant,low_given_abundant,social_occupancy_mostly_high,social_occupancy_mixed,social_occupancy_mostly_low,joint_occupancy_scarce_mostly_high,low_given_scarce_mostly_high,joint_occupancy_scarce_mixed,low_given_scarce_mixed,joint_occupancy_scarce_mostly_low,low_given_scarce_mostly_low,joint_occupancy_moderate_mostly_high,low_given_moderate_mostly_high,joint_occupancy_moderate_mixed,low_given_moderate_mixed,joint_occupancy_moderate_mostly_low,low_given_moderate_mostly_low,joint_occupancy_abundant_mostly_high,low_given_abundant_mostly_high,joint_occupancy_abundant_mixed,low_given_abundant_mixed,joint_occupancy_abundant_mostly_low,low_given_abundant_mostly_low
uniform_high,Uniform high,single,8,0,fixed,q_learning,continuation,100,0.0,0.0,1.0,1.0,0.0,0.0,0.6000019698570476,0.5994070712389679,45.00014773927856,44.95553034292259,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.09423905725165899,0.09870258953181121,5.621870490932547,6.426617287116972,0.0,0.0,0.875,0.0,0.125,0.0,0.0,nan,1.0,0.0,0.0,0.875,0.0,0.0,nan,0.0,nan,0.125,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
uniform_high,Uniform high,single,8,0,fixed,q_learning,fresh_reset,100,0.125,0.125,0.75,0.75,0.5435644431995964,0.5435644431995964,0.5774247591877247,0.6074945745097236,43.30685693907938,45.56209308822927,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.13335288211116386,0.17385313203683483,0.8441885694911748,1.5926780816034478,0.155625,0.15625,0.54875,0.0,0.45125,0.2770083102493075,0.0,nan,0.99,0.01,0.0,0.54875,0.0,0.0,nan,0.0,nan,0.44125,0.2804532577903683,0.01,0.125,0.0,nan,0.0,nan,0.0,nan,0.0,nan
uniform_high,Uniform high,single,8,0,fixed,always_low,fresh_reset,100,1.0,1.0,1.0,1.0,0.0,0.0,0.6317235133269229,0.6857218687661859,47.37926349951921,51.42914015746394,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.0,0.0,0.10100000000000006,0.20000000000000015,1.0,1.0,0.0,nan,0.99125,1.0,0.00875,1.0,0.0,0.01,0.99,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.01,1.0,0.98125,1.0,0.0,nan,0.0,nan,0.00875,1.0
uniform_high,Uniform high,single,8,0,fixed,always_high,fresh_reset,100,0.0,0.0,1.0,1.0,0.0,0.0,0.5687108537193903,0.5945955099834472,42.65331402895427,44.59466324875853,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.027385064020076535,0.06879543660428533,0.945175398619721,1.7833981985685803,0.0,0.0,0.78875,0.0,0.21125,0.0,0.0,nan,0.99,0.01,0.0,0.78875,0.0,0.0,nan,0.0,nan,0.20125,0.0,0.01,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan
uniform_high,Uniform high,single,8,0,fixed,random_50,fresh_reset,100,0.4925,0.375,0.305,0.25,0.8857162894296774,0.954434002924965,0.6033836992816223,0.647947240668608,45.25377744612166,48.596043050145596,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.09693517205209953,0.04041311180960938,0.5722850000000003,1.1135000000000006,0.490625,0.3125,0.1675,0.5074626865671642,0.8325,0.4894894894894895,0.0,nan,0.31375,0.39,0.29625,0.05625,0.5777777777777777,0.06375,0.5098039215686274,0.0475,0.42105263157894735,0.2575,0.5097087378640777,0.32625,0.4942528735632184,0.24875,0.4623115577889447,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,q_learning,continuation,100,0.18625,0.125,0.6275,0.75,0.6722529909608952,0.5435644431995964,0.6209766801777952,0.6218755960362283,46.518638142453845,46.567970277627666,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.12394970312002425,0.1301133509095116,4.957279883062623,5.653567437271164,0.1475,0.15625,0.70375,0.26465364120781526,0.29625,0.0,0.0,nan,0.93625,0.06375,0.0,0.65375,0.2084130019120459,0.05,1.0,0.0,nan,0.2825,0.0,0.01375,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,q_learning,fresh_reset,100,0.1775,0.25,0.645,0.5,0.6304667458531124,0.8112781244591328,0.5815177787096455,0.6141684745068242,43.55832817146345,46.01927070044682,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.11120477818287501,0.14403491791427103,0.8085866332991037,1.5247577845390032,0.13625,0.15625,0.665,0.2631578947368421,0.335,0.007462686567164179,0.0,nan,0.92375,0.07625,0.0,0.6275,0.21912350597609562,0.0375,1.0,0.0,nan,0.29625,0.0,0.03875,0.06451612903225806,0.0,nan,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,always_low,fresh_reset,100,1.0,1.0,1.0,1.0,0.0,0.0,0.6332451467707646,0.687312609330129,47.34143040487044,51.36067587625041,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.0,0.0,0.10100000000000006,0.20000000000000015,1.0,1.0,0.0,nan,0.97,1.0,0.03,1.0,0.0,0.01,0.99,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.01,1.0,0.96,1.0,0.0,nan,0.0,nan,0.03,1.0
patchy_high,Patchy high,single,8,0,fixed,always_high,fresh_reset,100,0.0,0.0,1.0,1.0,0.0,0.0,0.5710907513397416,0.5988405426843582,42.74727094323106,44.81641943863292,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.040853444059782314,0.09416904455855413,0.9256717163912178,1.7424279788879384,0.0,0.0,0.79625,0.0,0.20375,0.0,0.0,nan,0.99,0.01,0.0,0.79625,0.0,0.0,nan,0.0,nan,0.19375,0.0,0.01,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan
patchy_high,Patchy high,single,8,0,fixed,random_50,fresh_reset,100,0.4925,0.375,0.305,0.25,0.8857162894296774,0.954434002924965,0.6042076922862162,0.6482628323549195,45.19314114572639,48.47560762910608,0.9980000000000001,0.998,1.0,1.0,0.0,0.0,0.0,0.0,0.9980000000000001,0.998,0.09693517205209953,0.04041311180960938,0.5722850000000003,1.1135000000000006,0.490625,0.3125,0.1875,0.54,0.8125,0.4815384615384615,0.0,nan,0.31375,0.39,0.29625,0.05875,0.6808510638297872,0.06625,0.5471698113207547,0.0625,0.4,0.255,0.4852941176470588,0.32375,0.4864864864864865,0.23375,0.47058823529411764,0.0,nan,0.0,nan,0.0,nan
