scenario,population,replicate,social_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,mean_epsilon
uniform_high,8,0,fixed,1,0.5,0.0,1.0,0.5038427591111112,37.78820693333333,0.998,1.0,0.0,0.0,0.998,0.40909090909090917,0.011,0.53125,0.19990000000000002
uniform_high,8,0,fixed,20,0.25,0.5,0.8112781244591328,0.5604098972728802,42.03074229546601,0.998,1.0,0.0,0.0,0.998,0.16194817658349336,0.26049999999999995,0.3125,0.19800947156046594
uniform_high,8,0,fixed,40,0.0,1.0,0.0,0.5899532526363404,44.24649394772552,0.998,1.0,0.0,0.0,0.998,0.10529089376053968,0.5930000000000002,0.0,0.19603875413827485
uniform_high,8,0,fixed,60,0.25,0.5,0.8112781244591328,0.6006805468345585,45.05104101259188,0.998,1.0,0.0,0.0,0.998,0.06854856002825715,0.9493741517538206,0.28125,0.1940876505614596
uniform_high,8,0,fixed,80,0.25,0.5,0.8112781244591328,0.6034993447844346,45.26245085883259,0.998,1.0,0.0,0.0,0.998,0.057287900682730264,1.2962445310078103,0.25,0.19215596562043488
uniform_high,8,0,fixed,100,0.25,0.5,0.8112781244591328,0.6045887504938269,45.34415628703701,0.998,1.0,0.0,0.0,0.998,0.06074429073824206,1.62415632820271,0.21875,0.19024350604846688
uniform_high,8,0,fixed,120,0.0,1.0,0.0,0.6074053222471624,45.555399168537186,0.998,1.0,0.0,0.0,0.998,0.06425390745292803,1.9230279722652885,0.0,0.18835008050233615
uniform_high,8,0,fixed,140,0.0,1.0,0.0,0.6045977802733736,45.344833520503016,0.998,1.0,0.0,0.0,0.998,0.07044457513843883,2.261318854763097,0.0,0.186475499543194
uniform_high,8,0,fixed,160,0.0,1.0,0.0,0.6059850136388816,45.44887602291612,0.998,1.0,0.0,0.0,0.998,0.07659587486281083,2.5622647152460454,0.0,0.1846195756176088
uniform_high,8,0,fixed,180,0.0,1.0,0.0,0.6048695728911428,45.3652179668357,0.998,1.0,0.0,0.0,0.998,0.07860231535231743,2.8847300882686295,0.0,0.18278212303880104
uniform_high,8,0,fixed,200,0.125,0.75,0.5435644431995964,0.6044184146965581,45.33138110224185,0.998,1.0,0.0,0.0,0.998,0.07948004933046748,3.2006029289753704,0.09375,0.1809629579680653
uniform_high,8,0,fixed,220,0.0,1.0,0.0,0.6057055352420071,45.42791514315052,0.998,1.0,0.0,0.0,0.998,0.08211847857441223,3.5028502002502617,0.0,0.1791618983963771
uniform_high,8,0,fixed,240,0.0,1.0,0.0,0.6044628129828741,45.33471097371556,0.998,1.0,0.0,0.0,0.998,0.08266474192100803,3.8270733974029643,0.0,0.1773787641261826
uniform_high,8,0,fixed,260,0.0,1.0,0.0,0.6038025244858525,45.28518933643894,0.998,1.0,0.0,0.0,0.998,0.08455774332287636,4.146817561847547,0.0,0.17561337675336977
uniform_high,8,0,fixed,280,0.125,0.75,0.5435644431995964,0.6024166774819332,45.181250811145,0.998,1.0,0.0,0.0,0.998,0.08692669089273708,4.473001493098346,0.125,0.1738655596494188
uniform_high,8,0,fixed,300,0.0,1.0,0.0,0.6014292674796832,45.10719506097623,0.998,1.0,0.0,0.0,0.998,0.08887059589060042,4.798838723058454,0.0,0.17213513794373045
patchy_high,8,0,fixed,1,0.5,0.0,1.0,0.5039322368700682,37.78820524181585,0.998,1.0,0.0,0.0,0.998,0.40909090909090917,0.011,0.53125,0.19990000000000002
