scenario,population,replicate,social_mode,rewiring,agent,x,y,region,visibility_degree,attention_sources,rewires_initiated,mean_prediction_error,policy_scarce_mostly_high,q_scarce_mostly_high_low,q_scarce_mostly_high_high,policy_scarce_mixed,q_scarce_mixed_low,q_scarce_mixed_high,policy_scarce_mostly_low,q_scarce_mostly_low_low,q_scarce_mostly_low_high,policy_moderate_mostly_high,q_moderate_mostly_high_low,q_moderate_mostly_high_high,policy_moderate_mixed,q_moderate_mixed_low,q_moderate_mixed_high,policy_moderate_mostly_low,q_moderate_mostly_low_low,q_moderate_mostly_low_high,policy_abundant_mostly_high,q_abundant_mostly_high_low,q_abundant_mostly_high_high,policy_abundant_mixed,q_abundant_mixed_low,q_abundant_mixed_high,policy_abundant_mostly_low,q_abundant_mostly_low_low,q_abundant_mostly_low_high
uniform_high,8,0,fixed,none,agent_0,9,3,uniform_high,3,agent_3|agent_2|agent_5|agent_6,0,0.12251639097405238,H,0.07261312806438283,0.16379176992472774,H,5.807458221979574e-09,0.04769326599708042,L,5.575742793371066e-09,4.654211268884583e-09,H,0.001159469954131352,0.01738079733382293,L,0.0019493900492451657,2.720996704595542e-09,H,-2.2052159748265837e-08,0.002036099566490706,H,-1.8244383181067326e-09,6.642302549080126e-09,L,3.6107049243246247e-09,2.3408035468349745e-09,L,-2.8297800240563446e-09,-7.604645861928255e-09
uniform_high,8,0,fixed,none,agent_1,8,3,uniform_high,2,agent_5|agent_7|agent_2|agent_4,0,0.13790902401530955,H,0.12454658667385081,0.22344940801281016,H,0.020741446400660012,0.09402698974613535,H,-8.400436856134603e-09,0.0046366303581053805,H,0.0018786450517731747,0.02237140462261983,H,0.0019343421577146603,0.02332594284751565,H,0.0003989996315528793,0.006835494664372428,H,-1.1194383105948041e-08,4.851645448746522e-09,H,-1.9320435238217296e-08,-3.0447768846579923e-10,L,1.4330758152938092e-08,-1.5271355882330675e-08
uniform_high,8,0,fixed,none,agent_2,1,9,uniform_high,7,agent_0|agent_5|agent_6|agent_4,0,0.11781087855802601,H,0.1356675365071102,0.21798633105393847,H,0.004431510887876533,0.0965187890750191,L,8.509802008733536e-09,3.0823421860503044e-09,H,-6.1293608289665174e-09,0.012421748128998867,H,0.00037999588629896363,0.0093672220723088,H,-6.926377054543295e-09,0.01112672976579487,L,9.732182875159392e-09,5.423171883284276e-10,L,2.016832498358023e-08,-7.447017906150152e-09,L,1.5422719954562964e-08,-4.043144338380311e-09
uniform_high,8,0,fixed,none,agent_3,4,3,uniform_high,3,agent_4|agent_2|agent_1|agent_6,0,0.1332296655433944,L,-9.60579787907967e-09,-1.1536379113974887e-08,H,-2.015166139805569e-08,2.1677157982383588e-08,H,-9.21453032763118e-09,5.4986563256932164e-09,H,0.1470157833154229,0.24206925884613725,H,0.024923430196675072,0.11167448255366513,H,1.0232140986372056e-08,0.007113773667821184,L,1.620530891936617e-08,-1.2714948404076017e-08,H,-1.0697163114531625e-08,8.384944286046236e-09,H,1.8227806946644684e-08,2.0439496906955603e-08
uniform_high,8,0,fixed,none,agent_4,2,1,uniform_high,5,agent_0|agent_2|agent_7|agent_6,0,0.11585871436782642,H,0.1552814797847458,0.25774249103707647,L,0.059078506530051575,-5.967923503042199e-09,L,0.0010688907477773178,-6.080700096105584e-09,L,0.0042975572641993556,0.004065477365562444,H,0.0006082830206738642,0.013262002065858943,L,0.002328655731349264,-3.922180107041891e-09,H,-1.9939933203901656e-08,9.665397155628862e-09,L,1.2348102470288986e-08,9.235430776837237e-09,L,-4.966683527860735e-09,-1.526953138245538e-08
uniform_high,8,0,fixed,none,agent_5,0,9,uniform_high,4,agent_4|agent_2|agent_3|agent_6,0,0.13675888326939653,H,0.08255028659860124,0.11503990912462582,H,4.933388177233402e-09,0.0631743110747264,H,-1.4862256092604702e-08,0.007107203392920768,H,0.0016064739171389362,0.01466046621710115,H,0.0017789914362844842,0.005641791406933931,L,0.0016928967206698304,-1.5255914405775842e-08,L,2.2618503354947588e-08,-9.52778036354754e-09,H,-1.4569801714821618e-08,1.310783273440312e-08,H,-9.097877489429046e-09,1.787209132014751e-09
uniform_high,8,0,fixed,none,agent_6,9,4,uniform_high,5,agent_2|agent_1|agent_5|agent_7,0,0.1263025069986214,H,0.11511867756966922,0.18624522506224064,H,0.025251481578367763,0.09952318815733557,L,0.0026304731044991254,-8.657348610812632e-10,H,0.0045622708048027785,0.02521553758000725,H,0.001140542373010717,0.005021315081066735,L,0.0005590893240823598,-1.2592004823950172e-08,L,2.493679169656923e-08,3.4813531627573274e-09,L,2.4752479980515946e-08,-5.073058674616103e-10,H,-5.559515255068474e-09,-2.162594756286805e-09
uniform_high,8,0,fixed,none,agent_7,2,1,uniform_high,3,agent_3|agent_2|agent_0|agent_4,0,0.12145315792904829,H,0.1335608171917948,0.24148997125150012,L,0.08608309898408001,1.3486883513910228e-09,H,-4.643610051451395e-09,5.64059947943885e-09,H,0.0008971271348015177,0.02020253175542357,H,0.004374653995218261,0.009022906266192269,L,0.0009340812336364429,3.266070143282729e-09,H,-8.954404490918788e-09,1.480073762029971e-09,H,-2.0332186114174267e-08,-9.339330570567585e-09,H,2.6033560078972872e-09,4.393111965637603e-09
patchy_high,8,0,fixed,none,agent_0,9,3,patchy_high,3,agent_3|agent_2|agent_5|agent_6,0,0.1520135345707451,H,0.05374933065057207,0.16241742739284057,H,0.023238224826639224,0.11246101263281517,H,5.575742793371066e-09,0.0081672118942401,H,0.001159469954131352,0.012762570138185018,L,0.000958418549382209,2.720996704595542e-09,H,-2.2052159748265837e-08,0.002036099566490706,H,-1.8244383181067326e-09,6.642302549080126e-09,L,3.6107049243246247e-09,2.3408035468349745e-09,L,-2.8297800240563446e-09,-7.604645861928255e-09
patchy_high,8,0,fixed,none,agent_1,8,3,patchy_high,2,agent_5|agent_7|agent_2|agent_4,0,0.20164404297916746,L,0.05715269003240317,0.0531039466004543,H,0.004034251863125508,0.06445865485405002,H,0.0041540113721694845,0.010087522541512245,H,0.009954504236181275,0.07319096987812385,H,0.007051026520854287,0.03888638344493961,H,0.0003989996315528793,0.008615850574498152,H,-1.1194383105948041e-08,4.851645448746522e-09,H,-1.9320435238217296e-08,-3.0447768846579923e-10,L,1.4330758152938092e-08,-1.5271355882330675e-08
