scenario,population,replicate,social_mode,rewiring,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation
uniform_high,8,0,fixed,none,q_learning,continuation,1,0.0,1.0,0.0,0.6013664835913693,45.102486269352696,0.998,1.0,0.0,0.0,0.998,0.08899141548571032,4.8152885162132595,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,q_learning,continuation,20,0.0,1.0,0.0,0.6005304116925008,45.03978087693756,0.998,1.0,0.0,0.0,0.998,0.09123311144739743,5.125733902374881,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,q_learning,continuation,40,0.0,1.0,0.0,0.6000011150285993,45.000083627144946,0.998,1.0,0.0,0.0,0.998,0.0933949349012948,5.45146700317111,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,q_learning,continuation,60,0.0,1.0,0.0,0.5996909877972747,44.97682408479561,0.998,1.0,0.0,0.0,0.998,0.09534801284991112,5.776720450018538,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,q_learning,continuation,80,0.0,1.0,0.0,0.5995109661189741,44.96332245892307,0.998,1.0,0.0,0.0,0.998,0.09711000322677998,6.101732716762841,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,q_learning,continuation,100,0.0,1.0,0.0,0.5994070712389679,44.95553034292259,0.998,1.0,0.0,0.0,0.998,0.09870258953181121,6.426617287116972,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,q_learning,fresh_reset,1,0.125,0.75,0.5435644431995964,0.5031318631111111,37.734889733333326,0.998,1.0,0.0,0.0,0.998,0.1109154929577465,0.017750000000000002,0.09375,0.203125,0.21875,0.0,0.11160714285714285,-0.031249999999999993,0.0,0.2519763153394848
uniform_high,8,0,fixed,none,q_learning,fresh_reset,20,0.125,0.75,0.5435644431995964,0.5509242368053062,41.31931776039796,0.998,1.0,0.0,0.0,0.998,0.10933098591549273,0.3550000000000001,0.15625,0.203125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.2519763153394848
uniform_high,8,0,fixed,none,q_learning,fresh_reset,40,0.125,0.75,0.5435644431995964,0.5784127712305445,43.38095784229084,0.998,1.0,0.0,0.0,0.998,0.11497036484032663,0.7045890278491145,0.15625,0.203125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.2519763153394848
uniform_high,8,0,fixed,none,q_learning,fresh_reset,60,0.125,0.75,0.5435644431995964,0.5937115953556288,44.52836965167216,0.998,1.0,0.0,0.0,0.998,0.14131519329908415,1.014767138949479,0.15625,0.203125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.2519763153394848
