scenario,scenario_label,scenario_group,population,replicates,cooperation_rate_mean,cooperation_rate_sd,collective_action_entropy_mean,collective_action_entropy_sd,collective_order_mean,collective_order_sd,switch_rate_mean,switch_rate_sd,wealth_gini_mean,wealth_gini_sd,mean_welfare_mean,mean_welfare_sd,mean_wealth_mean,mean_wealth_sd,total_resource_mean,total_resource_sd,mean_resource_fraction_mean,mean_resource_fraction_sd,unique_policy_count_mean,unique_policy_count_sd,policy_entropy_mean,policy_entropy_sd,policy_hamming_mean_mean,policy_hamming_mean_sd,policy_cooperate_scarce_mean,policy_cooperate_scarce_sd,policy_cooperate_moderate_mean,policy_cooperate_moderate_sd,policy_cooperate_abundant_mean,policy_cooperate_abundant_sd,network_density_mean,network_density_sd,network_components_mean,network_components_sd,largest_component_fraction_mean,largest_component_fraction_sd,network_clustering_mean,network_clustering_sd,network_policy_similarity_mean,network_policy_similarity_sd,policy_assortativity_mean,policy_assortativity_sd
central_high_patchy_low,Central high + patchy low,mixed,8,20,0.00728125,0.012122040808183378,0.03164883627827949,0.05270816543958078,0.9854375,0.024244081616366764,0.014556249999999998,0.02425500067132115,0.18948409651424633,0.06680218137039202,68.24332445379513,11.04891900329145,78.24026502611001,11.052763788453225,33.31019566491316,0.43920053641483897,0.6587622293957549,0.019154850896875776,3.65,0.7451598203705947,0.5400925148127287,0.1121817468157288,0.31190476190476185,0.07749894609079784,0.225,0.13812656286327063,0.05,0.09424212936563149,0.475,0.1927979580586344,0.03928571428571428,0.03645841325243145,6.95,0.9445132413883325,0.23125,0.07339286857654997,0.01875,0.08385254915624211,0.7462962962962963,0.21020761831663928,-0.839064558629776,0.2441659414893749
central_high_patchy_low,Central high + patchy low,mixed,16,20,0.0355375,0.043966486938169284,0.16978054529366743,0.19083252050071164,0.9289250000000001,0.08793297387633857,0.021096875,0.01825742768593749,0.27013950908745116,0.049021718629102436,59.60913879981704,6.811310525259533,69.48715481288005,6.916112835872828,28.908549211724115,0.8583961562415969,0.5445932412385853,0.019879021744400056,4.45,0.7591546545162482,0.6010209230597112,0.09717907434597602,0.3144444444444444,0.05643744488533464,0.21875,0.08721758936554508,0.053125,0.0583313752804206,0.453125,0.13121866793939602,0.03791666666666667,0.017200868671114714,11.95,1.3945382182304158,0.178125,0.04657248877316217,0.06979166666666667,0.11751629070844324,0.7329100529100531,0.13854798703437915,-0.20707978219492088,0.3266755740065168
central_high_patchy_low,Central high + patchy low,mixed,32,20,0.09849999999999999,0.05353016838016868,0.4407987123314821,0.1629693475333157,0.8029999999999999,0.10706033676033735,0.018960937500000004,0.016334188152798402,0.436192886150368,0.03523981531784635,40.5590956006035,3.331913330724454,49.38543941503259,3.6087611998076454,19.448729029349167,2.655987036848595,0.33422837841362996,0.04799679698326199,5.6,0.9947229183096801,0.6482158026062976,0.08605329329060113,0.3205981182795699,0.04773994375013371,0.18125,0.07694837640638656,0.090625,0.05355380349163869,0.4828125,0.08141115091571334,0.04838709677419355,0.009157660870284981,14.0,2.772040859423935,0.215625,0.07374219405612045,0.26640625,0.10947174866784672,0.6949410608230389,0.06129752953202144,-0.019964794649170663,0.26345146413558
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,20,0.01501875,0.015531127223384249,0.06380588119785818,0.06492853567896611,0.9699625000000001,0.0310622544467685,0.03005625,0.03107780121917284,0.058229392369242815,0.04083795165974391,88.53192577886354,5.99406164312313,98.53292577885887,5.994061643121968,38.48986425815674,0.5301654614837747,0.724916208661489,0.011282837048593012,3.7,0.5712405705774793,0.5507041479998137,0.09622467381547826,0.3273809523809524,0.0672880990093328,0.3375,0.1725390878673736,0.0375,0.0587702932477034,0.4,0.20114802090945233,0.03928571428571428,0.03645841325243145,6.95,0.9445132413883325,0.23125,0.07339286857654997,0.01875,0.08385254915624211,0.8462962962962964,0.15603196133191452,-0.6791666666666665,0.3837730397406076
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,20,0.025428125000000003,0.021346937132004747,0.12727776106851038,0.10136067595231424,0.9491437500000002,0.0426938742640095,0.0446125,0.03089286453126949,0.12745480424775,0.0453105430137136,78.5062316769727,6.3184127502801815,88.50723167696977,6.318412750279422,33.3772446041387,1.266504219163232,0.6237958077483533,0.01928181909709595,4.15,0.6708203932499369,0.5855000296451471,0.10181594154611366,0.31611111111111106,0.05348935511960403,0.2875,0.13511690844364527,0.0375,0.047121064682815746,0.4,0.13358665628288668,0.03791666666666667,0.017200868671114714,11.95,1.3945382182304158,0.178125,0.04657248877316217,0.06979166666666667,0.11751629070844324,0.767883597883598,0.130693873545856,-0.11141190916398627,0.4074382374022352
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,20,0.04372812500000001,0.03829067365212517,0.22910486557026416,0.16078385044364352,0.91254375,0.07658134730425033,0.019578125000000002,0.016507286008460978,0.3318472184814754,0.06517274756781337,44.970942151217415,6.797036532425209,54.46340719786624,6.948513749198994,19.52284148402139,2.332747916400029,0.35757130134743126,0.04276420098382777,4.75,0.9665456669582609,0.5470887264268635,0.06787349392681973,0.2632728494623656,0.02992855854053156,0.0890625,0.05670049864024682,0.0703125,0.046323510215485725,0.4671875,0.09038648285498634,0.04838709677419355,0.009157660870284981,14.0,2.772040859423935,0.215625,0.07374219405612045,0.26640625,0.10947174866784672,0.7435059925473982,0.048795490986174084,-0.03332120697213061,0.17891562127211585
patchy_high_central_low,Patchy high + central low,mixed,8,20,0.022574999999999998,0.01917408132706342,0.09528509797957348,0.07947467398898432,0.9548500000000001,0.038348162654126834,0.0451625,0.0383427903570987,0.050009679813104446,0.03972079985254094,89.12365879777664,5.8101430051480945,99.12465879777189,5.810143005146816,41.34528906420932,0.7593775023620672,0.6970092661065378,0.015090265312955955,3.75,0.5501196042201808,0.5749723573576149,0.07456383703741908,0.33630952380952384,0.0495948196806624,0.41875,0.20388899843839178,0.01875,0.04579344356656541,0.49375,0.174317277278802,0.03928571428571428,0.03645841325243145,6.95,0.9445132413883325,0.23125,0.07339286857654997,0.01875,0.08385254915624211,0.7814814814814814,0.19068551108760703,-0.7390572390572391,0.37327640149228475
patchy_high_central_low,Patchy high + central low,mixed,16,20,0.020428125000000002,0.01417103982263141,0.10437288709854124,0.07016149429459743,0.95914375,0.028342079645262825,0.040859375,0.028334873922093266,0.12242408544432884,0.04841734841686808,79.1032082884592,7.433468278995747,89.10420828845616,7.433468278994605,35.44044857224706,1.525888614736512,0.5838386356353632,0.019584529938206058,4.0,0.6488856845230502,0.5849676691280432,0.0804865813118962,0.31486111111111104,0.050583622759624254,0.3,0.13078709094514923,0.015625,0.0343824752637613,0.44375,0.11271908492027052,0.03791666666666667,0.017200868671114714,11.95,1.3945382182304158,0.178125,0.04657248877316217,0.06979166666666667,0.11751629070844324,0.8030687830687832,0.10596729529491516,-0.15349737981316933,0.3940685615932719
patchy_high_central_low,Patchy high + central low,mixed,32,20,0.037192187499999994,0.03098912703758867,0.1992556089806536,0.1504781304282827,0.925615625,0.06197825407517732,0.028015625,0.0256552282795468,0.3168354023093336,0.04728998555335173,47.08566629870743,4.611588463693959,56.764701228712354,4.7833989783426425,22.653255956206102,2.965085246198496,0.35511349362912514,0.04410071515616279,4.9,0.8522416262267903,0.577586741197847,0.08201209519152645,0.2783938172043011,0.04203125796890127,0.121875,0.06074848384506138,0.0640625,0.05015908081452346,0.48125,0.08072960879901565,0.04838709677419355,0.009157660870284981,14.0,2.772040859423935,0.215625,0.07374219405612045,0.26640625,0.10947174866784672,0.7480223791529242,0.04851867017075883,-0.02363128888805152,0.15393957597238192
split_high_low,High patchy + low fragmented split,mixed,8,20,0.0117625,0.034903718603730774,0.04731019738179314,0.137819506117318,0.976475,0.06980743720746153,0.01105,0.02336848699018673,0.22054943432474666,0.08606901615258017,68.63375986700747,11.183807080157662,78.62428336784777,11.19519917245222,32.43701281320533,1.2683387867980327,0.5818415564016297,0.023666254133780613,3.5,0.6069769786668839,0.5143607241705299,0.08744835235553797,0.3053571428571429,0.055473071002036155,0.25625,0.15953777807020803,0.0125,0.03847418820319328,0.5125,0.16672148221383754,0.03928571428571428,0.03645841325243145,6.95,0.9445132413883325,0.23125,0.07339286857654997,0.01875,0.08385254915624211,0.8074074074074075,0.21706990017914965,-0.7916666666666666,0.292091527294888
