scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
patchy_high_central_low,Patchy high + central low,mixed,8,0,0.036125,0.15433161646528276,0.92775,0.072375,0.06494345256148672,82.09398825325898,92.09498825325713,40.57652603149888,0.6923079366017578,3,0.5,0.3333333333333333,0.25,0.0,0.5,0.14285714285714285,4,0.375,0.0,0.6666666666666667,-4.163336342344338e-17
patchy_high_central_low,Patchy high + central low,mixed,16,0,0.0341875,0.17545758382713086,0.931625,0.0683125,0.13904257808620743,73.10365483998831,83.10465483998716,36.008142046794006,0.6042935459455601,3,0.501746938314716,0.2833333333333333,0.1875,0.0,0.4375,0.075,10,0.25,0.25,0.7407407407407408,-0.1688311688311692
patchy_high_central_low,Patchy high + central low,mixed,32,0,0.012375,0.07603175426119069,0.97525,0.02475,0.2997188290817011,43.569759098760144,53.57075909875952,22.774271241357823,0.3726669120545099,5,0.5929436831289188,0.28360215053763443,0.15625,0.03125,0.5,0.05040322580645161,16,0.15625,0.421875,0.7466666666666667,-0.33795837462834505
central_high_patchy_low,Central high + patchy low,mixed,8,0,0.0,0.0,1.0,0.0,0.32479302737494514,45.29137208810101,55.29237208809953,34.263040120585174,0.6722116803399505,5,0.7185463540765221,0.41666666666666663,0.125,0.25,0.5,0.14285714285714285,4,0.375,0.0,0.5833333333333334,-0.7391304347826083
central_high_patchy_low,Central high + patchy low,mixed,16,0,0.003875,0.020911984130254864,0.99225,0.00775,0.36603034509498694,45.67803035211715,55.67903035211475,30.851191306788035,0.5829372638834168,6,0.7662649802317995,0.39166666666666666,0.1875,0.1875,0.4375,0.075,10,0.25,0.25,0.6296296296296297,-0.31707317073170754
central_high_patchy_low,Central high + patchy low,mixed,32,0,0.10859375,0.4925467678541247,0.7828125,0.0296875,0.45710664564396875,38.629749085913275,47.859589087976694,24.052603319097305,0.41345631691115686,8,0.8278195311147832,0.418010752688172,0.25,0.21875,0.46875,0.05040322580645161,16,0.15625,0.421875,0.5733333333333334,-0.16666666666666666
split_high_low,High patchy + low fragmented split,mixed,8,0,0.153375,0.6043354488455112,0.69325,0.056875,0.3076602171315514,57.17424785691865,66.96571787378949,31.77445617144435,0.613350798470715,4,0.6352130207431889,0.369047619047619,0.375,0.0,0.5,0.14285714285714285,4,0.375,0.0,0.5,-0.5
split_high_low,High patchy + low fragmented split,mixed,16,0,0.0095625,0.05160538019240312,0.980875,0.019125,0.32384072588364465,52.27078603063043,62.08768742759463,26.25025493481641,0.49259078223464337,5,0.6454260414863776,0.325,0.1875,0.0625,0.4375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
split_high_low,High patchy + low fragmented split,mixed,32,0,0.222,0.7634320273781519,0.556,0.00671875,0.5264481738871952,33.11062950189548,40.6060930280192,19.797038669664097,0.3315113835694072,8,0.7883070946097881,0.4025537634408602,0.34375,0.125,0.5,0.05040322580645161,16,0.15625,0.421875,0.6533333333333334,0.07578558225508328
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,0,0.013375,0.05816139542235682,0.97325,0.02675,0.11348023012148724,76.24922570904027,86.25022570903839,37.20485042965895,0.7110569873384173,3,0.5204260414863776,0.32142857142857145,0.25,0.0,0.375,0.14285714285714285,4,0.375,0.0,0.75,-0.5999999999999998
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,0,0.028625,0.14598659322907467,0.94275,0.05725,0.19228635776664257,69.3579614040743,79.35896140407245,33.87286371946985,0.6422747262921901,4,0.6165339175715271,0.3194444444444444,0.3125,0.0,0.375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,0,0.00728125,0.046105455744778354,0.9854375,0.0145625,0.3018742410307699,42.19521026435176,51.85811702652062,19.768282110853384,0.3683875585000461,4,0.48014241830276844,0.23051075268817203,0.0625,0.03125,0.4375,0.05040322580645161,16,0.15625,0.421875,0.7733333333333334,-0.20772946859903393
patchy_high_central_low,Patchy high + central low,mixed,8,1,0.066125,0.26878773864066247,0.86775,0.13225,0.06292149040979603,83.88544284993345,93.88644284993079,42.031303838014466,0.6797933014918593,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.5,-0.8181818181818181
patchy_high_central_low,Patchy high + central low,mixed,16,1,0.0,0.0,1.0,0.0,0.22634430472724323,66.44263962200306,76.44363962200096,38.16729745675677,0.589955383695383,5,0.6403932306491659,0.32222222222222213,0.125,0.125,0.375,0.075,10,0.25,0.3958333333333333,0.5555555555555556,-0.5
patchy_high_central_low,Patchy high + central low,mixed,32,1,0.0,0.0,1.0,0.0,0.37059630777207475,41.76383996919092,51.76483996918988,27.975096537681726,0.42015930911781263,4,0.5269928620349932,0.2620967741935484,0.03125,0.125,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7171717171717172,-0.0999999999999999
central_high_patchy_low,Central high + patchy low,mixed,8,1,0.0,0.0,1.0,0.0,0.25500518200358097,63.00079487639615,73.00179487639383,33.8020940254103,0.6911450975446878,4,0.603759374819711,0.33333333333333337,0.25,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.5,-0.8181818181818181
central_high_patchy_low,Central high + patchy low,mixed,16,1,0.0,0.0,1.0,0.0,0.26306699891155433,57.103571976514125,67.10457197651378,27.02026382276851,0.5565791544432859,3,0.4158520829727553,0.20833333333333334,0.0625,0.0,0.375,0.075,10,0.25,0.3958333333333333,0.7777777777777779,-0.5
central_high_patchy_low,Central high + patchy low,mixed,32,1,0.079,0.3946345239077054,0.842,0.03303125,0.4897748861840057,36.89294492006088,45.42736546278354,19.059032382018877,0.38921112048343987,5,0.686380254062286,0.3461021505376344,0.1875,0.125,0.40625,0.06653225806451613,12,0.1875,0.546875,0.6969696969696971,0.24786324786324812
