scenario,scenario_label,scenario_group,population,replicates,cooperation_rate_mean,cooperation_rate_sd,collective_action_entropy_mean,collective_action_entropy_sd,collective_order_mean,collective_order_sd,switch_rate_mean,switch_rate_sd,wealth_gini_mean,wealth_gini_sd,mean_welfare_mean,mean_welfare_sd,mean_wealth_mean,mean_wealth_sd,total_resource_mean,total_resource_sd,mean_resource_fraction_mean,mean_resource_fraction_sd,unique_policy_count_mean,unique_policy_count_sd,policy_entropy_mean,policy_entropy_sd,policy_hamming_mean_mean,policy_hamming_mean_sd,policy_cooperate_scarce_mean,policy_cooperate_scarce_sd,policy_cooperate_moderate_mean,policy_cooperate_moderate_sd,policy_cooperate_abundant_mean,policy_cooperate_abundant_sd,network_density_mean,network_density_sd,network_components_mean,network_components_sd,largest_component_fraction_mean,largest_component_fraction_sd,network_clustering_mean,network_clustering_sd,network_policy_similarity_mean,network_policy_similarity_sd,policy_assortativity_mean,policy_assortativity_sd
central_high_patchy_low,Central high + patchy low,mixed,8,10,0.0010999999999999998,0.0034785054261852167,0.004783367100156448,0.01512633492120914,0.9978,0.006957010852370441,0.0021874999999999998,0.006917482381618331,0.21038198100033498,0.06716482444884449,64.77685887162093,11.302292113719123,74.77785887161909,11.30229211371879,33.49326530058275,0.4804866764554123,0.6594609274589207,0.01937126734030645,3.6,0.8432740427115679,0.5456965896791719,0.11214727851662618,0.3142857142857143,0.06946144916520973,0.2,0.10540925533894598,0.0375,0.0843685697138191,0.5625,0.12147816447594376,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.7261904761904762,0.2751863245648541,-0.8893280632411066,0.13180499605164495
central_high_patchy_low,Central high + patchy low,mixed,16,10,0.04418124999999999,0.05763109640263183,0.1996795142342361,0.24322192081661287,0.9116375,0.11526219280526369,0.01338125,0.014401528962521074,0.2812208543883531,0.06250516363401179,59.185325051479104,8.477998280805515,69.02767517321296,8.595844328243576,28.99203519569722,1.1586215435669094,0.549981735910738,0.021295801792829985,4.5,0.97182531580755,0.60150483819084,0.10621016700508408,0.30972222222222223,0.05557484233119492,0.21875,0.08462540004829125,0.04375,0.06620936909196126,0.48125,0.13517606831256945,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.747962962962963,0.14224464522311625,-0.3061958051217346,0.2854701881099423
central_high_patchy_low,Central high + patchy low,mixed,32,10,0.10046249999999998,0.05918209305937809,0.4439615126297829,0.1791867216033631,0.799075,0.11836418611875621,0.019740625,0.020309412425595103,0.43416604244042334,0.04022628142296585,40.82990599536826,3.45999460501519,49.62400204903291,3.807673749258414,19.214470646242347,3.2975916251349693,0.33923975100405357,0.058162037838883414,5.8,1.3165611772087666,0.6596688673284408,0.10836295929705951,0.3245967741935484,0.05621911929667841,0.18125,0.07482618748361654,0.103125,0.06596308416244817,0.496875,0.10668823024224473,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.6874312335174405,0.07453702726220557,-0.08555342838163116,0.2822613332756353
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,10,0.0174375,0.01534807375717082,0.0740066247975393,0.06369990113202284,0.9651249999999999,0.03069614751434164,0.0349,0.030720842092769676,0.06231419921515715,0.04360685882339741,87.53934501644564,6.650097970389661,97.54034501644117,6.650097970388261,38.43774320872075,0.5756588951932939,0.7255474257100676,0.010699820507289593,3.8,0.6324555320336759,0.5836941541740209,0.07627571148248613,0.3488095238095238,0.04926072264661183,0.3375,0.1449377260910507,0.0375,0.060380736442455986,0.4625,0.17726706155152205,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.8214285714285715,0.16961674819970243,-0.6499999999999998,0.47258156262526074
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,10,0.02246875,0.014916353872418762,0.11400081254441255,0.0718938363604867,0.9550625,0.029832707744837515,0.0449375,0.029848110865215948,0.14902283933596064,0.0482258023719307,76.04762273582351,6.988080596251637,86.04862273582044,6.9880805962507395,33.10062098016147,1.2892508650922805,0.6197851946443956,0.02120812455853718,4.1,0.5676462121975466,0.5870289525047168,0.05620784144938037,0.31888888888888883,0.034191624930142044,0.29375,0.11429888936954335,0.025,0.04370036867375632,0.40625,0.11121956512532616,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.7831481481481481,0.13218945196839854,-0.03640800168371758,0.3445785982540017
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,10,0.05248125,0.045800537982799816,0.26496363317047233,0.17936998132944879,0.8950375000000002,0.09160107596559963,0.016734375000000003,0.01793541442821452,0.3501721246913522,0.0802082988076008,42.897120204103814,6.482992471224737,52.28439426937307,6.850956808006299,19.9681281708607,2.1733274110185756,0.36606771265559934,0.03746482876323254,4.5,0.97182531580755,0.5415615355165365,0.07700192569896223,0.26102150537634405,0.034610323798416345,0.096875,0.06661782064716451,0.065625,0.055998666898815046,0.48125,0.11711224435462664,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.7437582474996268,0.05095262961209654,-0.011412474417248552,0.20065828665098193
patchy_high_central_low,Patchy high + central low,mixed,8,10,0.024825000000000003,0.023409562979451133,0.10392447729511498,0.09613565950661185,0.95035,0.04681912595890225,0.0496625,0.04682584645079396,0.04290118946893705,0.02985754845172206,89.54206959151335,5.455578431525823,99.54306959150881,5.455578431524131,41.4569232424902,0.6810278969539888,0.6983001560982149,0.012555455742294198,3.7,0.48304589153964794,0.5842731770382611,0.07052703086312784,0.3464285714285714,0.03196846676368705,0.4125,0.20454896181055962,0.0125,0.03952847075210474,0.5625,0.08838834764831845,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.7857142857142858,0.20892772350933622,-0.7045454545454544,0.47745306838147655
patchy_high_central_low,Patchy high + central low,mixed,16,10,0.016281249999999997,0.013831176099365761,0.08366972984716543,0.06993518428594246,0.9674375,0.027662352198731522,0.03256875,0.027666548223893053,0.14509886854304485,0.0522111276981731,75.85276610387425,8.074088452069104,85.85376610387165,8.07408845206777,35.54279112063597,1.3197663462990536,0.5804914720174567,0.018208207317246282,3.9,0.7378647873726218,0.5709344664705988,0.07225700122491995,0.3113888888888888,0.043181317722764644,0.26875,0.13192616832489637,0.01875,0.04218428485690955,0.45625,0.0934021323810829,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.8062962962962963,0.13244215205020293,-0.029463129463129456,0.3944813253734536
patchy_high_central_low,Patchy high + central low,mixed,32,10,0.036478125,0.03358162426508358,0.19516368196099515,0.15870647477090216,0.9270437499999999,0.06716324853016713,0.022968750000000003,0.01916940650707093,0.33297745076534335,0.05314043041886187,45.2576355622926,3.9215933770963134,54.843112276081705,4.220165024025137,23.77693434788995,2.984651687657703,0.36928040239429866,0.04554748942835527,4.9,0.9944289260117531,0.5930986612558974,0.10196951795797955,0.28655913978494624,0.053172340487671624,0.134375,0.06429708067504569,0.071875,0.06082833883606847,0.49375,0.10290907529357057,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.740962929790516,0.062174892216240694,-0.006023732667230964,0.18331094212890242
split_high_low,High patchy + low fragmented split,mixed,8,10,0.021712500000000003,0.04815646698523471,0.08690422079435615,0.18978872305716035,0.956575,0.09631293397046939,0.01845,0.029999201378258948,0.24363682804998404,0.08468290114391414,66.00907660230249,11.170159897571683,75.98912360398636,11.188754695894357,32.412694928090296,1.2235832682485246,0.5844333352698949,0.02679540730778392,3.6,0.5163977794943223,0.5296089458767455,0.09184685199018679,0.31785714285714284,0.052659791738202,0.275,0.18446619684315546,0.0125,0.03952847075210474,0.575,0.08740073734751264,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.7380952380952381,0.26972453123756235,-0.875,0.25
