scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
uniform_high,Uniform high,single,8,0,0.0,0.0,1.0,0.0,0.12038004146861984,78.2652739980743,88.26627399807194,44.945475986777,0.5992730131570265,4,0.603759374819711,0.3571428571428572,0.125,0.125,0.5,0.14285714285714285,4,0.375,0.0,0.6666666666666667,-0.7142857142857144
uniform_high,Uniform high,single,16,0,0.017875,0.09305855111157076,0.96425,0.03575,0.16735681302417552,69.46168285045005,79.46268285044842,37.834095563472204,0.5044546075129627,4,0.5987265639824991,0.30833333333333335,0.25,0.0,0.4375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
uniform_high,Uniform high,single,32,0,0.0066875,0.04293317740292094,0.986625,0.013375,0.32029096591261985,37.67826222083731,47.48766795668133,19.99538720949491,0.26660516279326546,4,0.44576335553900465,0.21370967741935484,0.03125,0.03125,0.5,0.05040322580645161,16,0.15625,0.421875,0.7466666666666667,-0.33795837462834505
patchy_high,Patchy high,single,8,0,0.0,0.0,1.0,0.0,0.1250678499936762,76.85395607063032,86.85495607062849,45.12876275199151,0.602270013637844,3,0.4685463540765222,0.2738095238095238,0.125,0.0,0.5,0.14285714285714285,4,0.375,0.0,0.75,-0.5999999999999998
patchy_high,Patchy high,single,16,0,0.026875,0.13766798601445118,0.94625,0.05375,0.16901051458359717,69.09730332393808,79.09830332393646,37.98867775665593,0.5103775259732374,4,0.588032551857972,0.30833333333333335,0.25,0.0,0.4375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
patchy_high,Patchy high,single,32,0,0.0073125,0.04694562388917523,0.985375,0.014625,0.31648921656642476,36.4466294296651,46.333908648144174,19.387814475377162,0.26492115569735264,4,0.44576335553900465,0.21370967741935484,0.03125,0.03125,0.5,0.05040322580645161,16,0.15625,0.421875,0.7466666666666667,-0.33795837462834505
centralized_low,Centralized low,single,8,0,0.0,0.0,1.0,0.0,0.2821445307954367,23.319132547884433,33.32013254788463,15.738656039913883,0.45162656048581734,4,0.603759374819711,0.33333333333333337,0.0,0.25,0.5,0.14285714285714285,4,0.375,0.0,0.5833333333333334,-0.7391304347826083
centralized_low,Centralized low,single,16,0,0.0625,0.33729006661701383,0.875,0.0,0.2868998018617254,13.570082244293825,23.247496477439142,10.1879169752079,0.29204743297729796,5,0.6008070946097882,0.325,0.0625,0.1875,0.4375,0.075,10,0.25,0.25,0.5925925925925927,-0.23809523809523814
centralized_low,Centralized low,single,32,0,0.28125,0.8571484374283714,0.4375,0.00015625,0.46230849942049146,1.3322370881725027,6.912558731497599,3.3763935370773797,0.09665882073959796,8,0.8368397054224261,0.41599462365591394,0.28125,0.1875,0.5,0.05040322580645161,16,0.15625,0.421875,0.64,-0.04863900044622942
decentralized_high,Decentralized high,single,8,0,0.0,0.0,1.0,0.0,0.10867289295548936,77.52973892730562,87.53073892730416,44.70894336799519,0.602699315994479,3,0.4685463540765222,0.2738095238095238,0.125,0.0,0.5,0.14285714285714285,4,0.375,0.0,0.75,-0.5999999999999998
decentralized_high,Decentralized high,single,16,0,0.039,0.19439549541800608,0.922,0.0779375,0.17343194491734815,69.5580294054036,79.5590294054017,38.94660548579531,0.5233086525411331,4,0.6276186878973496,0.3277777777777777,0.3125,0.0,0.4375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
decentralized_high,Decentralized high,single,32,0,0.00584375,0.03751637464647763,0.9883125,0.0116875,0.3224382294729164,36.5588273821723,46.38129611816378,19.699311519669827,0.2661523316296099,4,0.44576335553900465,0.21370967741935484,0.03125,0.03125,0.5,0.05040322580645161,16,0.15625,0.421875,0.7466666666666667,-0.33795837462834505
patchy_high_central_low,Patchy high + central low,mixed,8,0,0.036125,0.15433161646528276,0.92775,0.072375,0.06494345256148672,82.09398825325898,92.09498825325713,40.57652603149888,0.6923079366017578,3,0.5,0.3333333333333333,0.25,0.0,0.5,0.14285714285714285,4,0.375,0.0,0.6666666666666667,-4.163336342344338e-17
patchy_high_central_low,Patchy high + central low,mixed,16,0,0.0341875,0.17545758382713086,0.931625,0.0683125,0.13904257808620743,73.10365483998831,83.10465483998716,36.008142046794006,0.6042935459455601,3,0.501746938314716,0.2833333333333333,0.1875,0.0,0.4375,0.075,10,0.25,0.25,0.7407407407407408,-0.1688311688311692
patchy_high_central_low,Patchy high + central low,mixed,32,0,0.012375,0.07603175426119069,0.97525,0.02475,0.2997188290817011,43.569759098760144,53.57075909875952,22.774271241357823,0.3726669120545099,5,0.5929436831289188,0.28360215053763443,0.15625,0.03125,0.5,0.05040322580645161,16,0.15625,0.421875,0.7466666666666667,-0.33795837462834505
central_high_patchy_low,Central high + patchy low,mixed,8,0,0.0,0.0,1.0,0.0,0.32479302737494514,45.29137208810101,55.29237208809953,34.263040120585174,0.6722116803399505,5,0.7185463540765221,0.41666666666666663,0.125,0.25,0.5,0.14285714285714285,4,0.375,0.0,0.5833333333333334,-0.7391304347826083
central_high_patchy_low,Central high + patchy low,mixed,16,0,0.003875,0.020911984130254864,0.99225,0.00775,0.36603034509498694,45.67803035211715,55.67903035211475,30.851191306788035,0.5829372638834168,6,0.7662649802317995,0.39166666666666666,0.1875,0.1875,0.4375,0.075,10,0.25,0.25,0.6296296296296297,-0.31707317073170754
central_high_patchy_low,Central high + patchy low,mixed,32,0,0.10859375,0.4925467678541247,0.7828125,0.0296875,0.45710664564396875,38.629749085913275,47.859589087976694,24.052603319097305,0.41345631691115686,8,0.8278195311147832,0.418010752688172,0.25,0.21875,0.46875,0.05040322580645161,16,0.15625,0.421875,0.5733333333333334,-0.16666666666666666
split_high_low,High patchy + low fragmented split,mixed,8,0,0.153375,0.6043354488455112,0.69325,0.056875,0.3076602171315514,57.17424785691865,66.96571787378949,31.77445617144435,0.613350798470715,4,0.6352130207431889,0.369047619047619,0.375,0.0,0.5,0.14285714285714285,4,0.375,0.0,0.5,-0.5
split_high_low,High patchy + low fragmented split,mixed,16,0,0.0095625,0.05160538019240312,0.980875,0.019125,0.32384072588364465,52.27078603063043,62.08768742759463,26.25025493481641,0.49259078223464337,5,0.6454260414863776,0.325,0.1875,0.0625,0.4375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
split_high_low,High patchy + low fragmented split,mixed,32,0,0.222,0.7634320273781519,0.556,0.00671875,0.5264481738871952,33.11062950189548,40.6060930280192,19.797038669664097,0.3315113835694072,8,0.7883070946097881,0.4025537634408602,0.34375,0.125,0.5,0.05040322580645161,16,0.15625,0.421875,0.6533333333333334,0.07578558225508328
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,0,0.013375,0.05816139542235682,0.97325,0.02675,0.11348023012148724,76.24922570904027,86.25022570903839,37.20485042965895,0.7110569873384173,3,0.5204260414863776,0.32142857142857145,0.25,0.0,0.375,0.14285714285714285,4,0.375,0.0,0.75,-0.5999999999999998
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,0,0.028625,0.14598659322907467,0.94275,0.05725,0.19228635776664257,69.3579614040743,79.35896140407245,33.87286371946985,0.6422747262921901,4,0.6165339175715271,0.3194444444444444,0.3125,0.0,0.375,0.075,10,0.25,0.25,0.7777777777777779,-0.35000000000000014
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,0,0.00728125,0.046105455744778354,0.9854375,0.0145625,0.3018742410307699,42.19521026435176,51.85811702652062,19.768282110853384,0.3683875585000461,4,0.48014241830276844,0.23051075268817203,0.0625,0.03125,0.4375,0.05040322580645161,16,0.15625,0.421875,0.7733333333333334,-0.20772946859903393
uniform_high,Uniform high,single,8,1,0.042375,0.16205811030928158,0.91525,0.0845,0.06975425932687063,84.90285086144337,94.90385086144018,46.48007771606106,0.6197343695474808,4,0.6352130207431889,0.36904761904761907,0.625,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.6666666666666667,0.0
uniform_high,Uniform high,single,16,1,0.033,0.16713136235233184,0.934,0.066,0.1624319156340054,67.50861274250785,77.5096127425061,38.516319538583176,0.5135509271811091,5,0.6692853545640164,0.3416666666666667,0.25,0.0625,0.375,0.075,10,0.25,0.3958333333333333,0.7407407407407408,-0.6363636363636364
uniform_high,Uniform high,single,32,1,0.03125,0.20062232431271457,0.9375,6.25e-05,0.43517610684731795,32.12951315892114,41.856752380058516,22.602113745690342,0.3013615166092045,4,0.5023496092623193,0.2452956989247312,0.03125,0.09375,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7272727272727274,-0.027427724240178003
patchy_high,Patchy high,single,8,1,0.03675,0.1508561641158057,0.9265,0.073625,0.0936346474139798,82.65440962469228,92.65540962468867,46.74796313205986,0.6228221853998687,4,0.6666666666666666,0.38095238095238093,0.5,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.5,-0.8181818181818181
patchy_high,Patchy high,single,16,1,0.008875,0.04789518945961596,0.98225,0.01775,0.1906392718141758,68.14680817015955,78.14780817015694,38.045703879668324,0.5066917622652422,4,0.5591404279431216,0.2861111111111111,0.125,0.0625,0.375,0.075,10,0.25,0.3958333333333333,0.7407407407407408,-0.6363636363636364
